[(2566, 2340), (2426, 2222), 'Turn Right', '175_179_100']
[(2566, 2341), (2426, 2222), 'Turn Right', '175_179_100']
[(2567, 2343), (2426, 2222), 'Turn Right', '175_179_100']
[(2568, 2344), (2426, 2222), 'Turn Right', '175_179_100']
[(2569, 2346), (2426, 2222), 'Turn Right', '175_179_100']
[(2569, 2347), (2426, 2222), 'Turn Right', '175_179_100']
[(2570, 2349), (2426, 2222), 'Turn Right', '175_179_100']
[(2570, 2350), (2426, 2222), 'Turn Right', '175_179_100']
[(2571, 2352), (2426, 2222), 'Turn Right', '175_179_100']
[(2572, 2353), (2426, 2222), 'Turn Right', '175_179_100']
[(2573, 2355), (2426, 2222), 'Turn Right', '175_179_100']
[(2573, 2356), (2426, 2222), 'Turn Right', '175_179_100']
[(2574, 2359), (2426, 2222), 'Turn Right', '175_179_100']
[(2574, 2360), (2426, 2222), 'Turn Right', '175_179_100']
[(2575, 2362), (2426, 2222), 'Turn Right', '175_179_100']
[(2575, 2363), (2426, 2222), 'Turn Right', '175_179_100']
[(2575, 2365), (2426, 2222), 'Turn Right', '175_179_100']
[(2576, 2366), (2426, 2222), 'Turn Right', '175_179_100']
[(2576, 2369), (2426, 2222), 'Turn Right', '175_179_100']
[(2576, 2370), (2426, 2222), 'Turn Right', '175_179_100']
[(2577, 2372), (2426, 2222), 'Turn Right', '175_179_100']
[(2577, 2373), (2426, 2222), 'Turn Right', '175_179_100']
[(2577, 2375), (2426, 2222), 'Turn Right', '175_179_100']
[(2577, 2376), (2426, 2222), 'Turn Right', '175_179_100']
[(2578, 2379), (2426, 2222), 'Turn Right', '175_179_100']
[(2578, 2380), (2426, 2222), 'Turn Right', '175_179_100']
[(2578, 2382), (2426, 2222), 'Turn Right', '175_179_100']
[(2578, 2383), (2426, 2222), 'Turn Right', '175_179_100']
[(2578, 2386), (2426, 2222), 'Turn Right', '175_179_100']
[(2578, 2387), (2426, 2222), 'Turn Right', '175_179_100']
[(2578, 2390), (2426, 2222), 'Turn Right', '175_179_100']
[(2578, 2391), (2426, 2222), 'Turn Right', '175_179_100']
[(2578, 2394), (2426, 2222), 'Turn Right', '175_179_100']
[(2579, 2395), (2426, 2222), 'Turn Right', '175_179_100']
[(2579, 2398), (2426, 2222), 'Turn Right', '175_179_100']
[(2579, 2399), (2426, 2222), 'Turn Right', '175_179_100']
[(2579, 2402), (2426, 2222), 'Turn Right', '175_179_100']
[(2579, 2403), (2426, 2222), 'Turn Right', '175_179_100']
[(2579, 2406), (2426, 2222), 'Turn Right', '175_179_100']
[(2579, 2407), (2426, 2222), 'Turn Right', '175_179_100']
[(2579, 2409), (2426, 2222), 'Turn Right', '175_179_100']
[(2579, 2413), (2426, 2222), 'Turn Right', '175_179_100']
[(2579, 2417), (2426, 2222), 'Turn Right', '175_179_100']
[(2579, 2421), (2426, 2222), 'Turn Right', '175_179_100']
[(2579, 2425), (2426, 2222), 'Turn Right', '175_179_100']
[(2580, 2429), (2426, 2222), 'Turn Right', '175_179_100']
[(2580, 2432), (2426, 2222), 'Turn Right', '175_179_100']
[(2580, 2436), (2426, 2222), 'Turn Right', '175_179_100']
[(2580, 2440), (2426, 2222), 'Turn Right', '175_179_100']
[(2580, 2444), (2426, 2222), 'Turn Right', '175_179_100']
[(2580, 2448), (2426, 2222), 'Turn Right', '175_179_100']
[(2580, 2452), (2426, 2222), 'Turn Right', '175_179_100']
[(2580, 2456), (2426, 2222), 'Turn Right', '175_179_100']
[(2580, 2460), (2426, 2222), 'Turn Right', '175_179_100']
[(2580, 2464), (2426, 2222), 'Turn Right', '175_179_100']
[(2581, 2468), (2426, 2222), 'Turn Right', '175_179_100']
[(2581, 2472), (2426, 2222), 'Turn Right', '175_179_100']
[(2581, 2476), (2426, 2222), 'Turn Right', '175_179_100']
[(2581, 2480), (2426, 2222), 'Turn Right', '175_179_100']
[(2581, 2484), (2426, 2222), 'Turn Right', '175_179_100']
[(2581, 2488), (2426, 2222), 'Turn Right', '175_179_100']
[(2581, 2492), (2426, 2222), 'Turn Right', '175_179_100']
[(2581, 2496), (2426, 2222), 'Turn Right', '175_179_100']
[(2581, 2500), (2426, 2222), 'Turn Right', '175_179_100']
[(2581, 2504), (2426, 2222), 'Turn Right', '175_179_100']
[(2581, 2508), (2426, 2222), 'Turn Right', '175_179_100']
[(2581, 2512), (2426, 2222), 'Turn Right', '175_179_100']
[(2581, 2516), (2426, 2222), 'Turn Right', '175_179_100']
[(2581, 2520), (2426, 2222), 'Turn Right', '175_179_100']
[(2581, 2524), (2426, 2222), 'Turn Right', '175_179_100']
[(2581, 2528), (2426, 2222), 'Turn Right', '175_179_100']
[(2582, 2532), (2426, 2222), 'Turn Right', '175_179_100']
[(2582, 2536), (2426, 2222), 'Turn Right', '175_179_100']
[(2582, 2540), (2426, 2222), 'Turn Right', '175_179_100']
[(2582, 2544), (2426, 2222), 'Turn Right', '175_179_100']
[(2582, 2548), (2426, 2222), 'Turn Right', '175_179_100']
[(2582, 2552), (2426, 2222), 'Turn Right', '175_179_100']
[(2582, 2556), (2426, 2222), 'Turn Right', '175_179_100']
[(2582, 2560), (2426, 2222), 'Turn Right', '175_179_100']
[(2582, 2564), (2426, 2222), 'Turn Right', '175_179_100']
[(2582, 2568), (2426, 2222), 'Turn Right', '175_179_100']
[(2582, 2572), (2426, 2222), 'Turn Right', '175_179_100']
[(2582, 2576), (2426, 2222), 'Turn Right', '175_179_100']
[(2582, 2580), (2426, 2222), 'Turn Right', '175_179_100']
[(2582, 2581), (2426, 2222), 'Turn Right', '175_179_100']
[(2582, 2585), (2426, 2222), 'Turn Right', '175_179_100']
[(2582, 2589), (2426, 2222), 'Turn Right', '175_179_100']
[(2582, 2593), (2426, 2222), 'Turn Right', '175_179_100']
[(2583, 2597), (2426, 2222), 'Turn Right', '175_179_100']
[(2583, 2601), (2426, 2222), 'Turn Right', '175_179_100']
[(2589, 3027), (2577, 2372), 'Forward', '31_31_214']
[(2589, 3031), (2577, 2372), 'Forward', '31_31_214']
[(2589, 3035), (2577, 2372), 'Forward', '31_31_214']
[(2589, 3039), (2577, 2372), 'Forward', '31_31_214']
[(2589, 3043), (2577, 2372), 'Forward', '31_31_214']
[(2589, 3047), (2577, 2372), 'Forward', '31_31_214']
[(2589, 3051), (2577, 2372), 'Forward', '31_31_214']
[(2589, 3054), (2577, 2372), 'Forward', '31_31_214']
[(2589, 3058), (2577, 2372), 'Forward', '31_31_214']
[(2589, 3062), (2577, 2372), 'Forward', '31_31_214']
[(2590, 3066), (2577, 2372), 'Forward', '31_31_214']
[(2590, 3070), (2577, 2372), 'Forward', '31_31_214']
[(2590, 3074), (2577, 2372), 'Forward', '31_31_214']
[(2590, 3078), (2577, 2372), 'Forward', '31_31_214']
[(2590, 3082), (2577, 2372), 'Forward', '31_31_214']
[(2590, 3086), (2577, 2372), 'Forward', '31_31_214']
[(2590, 3090), (2577, 2372), 'Forward', '31_31_214']
[(2590, 3094), (2577, 2372), 'Forward', '31_31_214']
[(2590, 3098), (2577, 2372), 'Forward', '31_31_214']
[(2590, 3102), (2577, 2372), 'Forward', '31_31_214']
[(2590, 3106), (2577, 2372), 'Forward', '31_31_214']
[(2590, 3110), (2577, 2372), 'Forward', '31_31_214']
[(2590, 3114), (2577, 2372), 'Forward', '31_31_214']
[(2590, 3118), (2577, 2372), 'Forward', '31_31_214']
[(2590, 3122), (2577, 2372), 'Forward', '31_31_214']
[(2590, 3126), (2577, 2372), 'Forward', '31_31_214']
[(2590, 3130), (2577, 2372), 'Forward', '31_31_214']
[(2591, 3134), (2577, 2372), 'Forward', '31_31_214']
[(2591, 3138), (2577, 2372), 'Forward', '31_31_214']
[(2591, 3142), (2577, 2372), 'Forward', '31_31_214']
[(2591, 3146), (2577, 2372), 'Forward', '31_31_214']
[(2591, 3150), (2577, 2372), 'Forward', '31_31_214']
[(2591, 3154), (2577, 2372), 'Forward', '31_31_214']
[(2591, 3158), (2577, 2372), 'Forward', '31_31_214']
[(2591, 3162), (2577, 2372), 'Forward', '31_31_214']
[(2591, 3166), (2577, 2372), 'Forward', '31_31_214']
[(2591, 3170), (2577, 2372), 'Forward', '31_31_214']
[(2591, 3174), (2577, 2372), 'Forward', '31_31_214']
[(2591, 3178), (2577, 2372), 'Forward', '31_31_214']
[(2591, 3182), (2577, 2372), 'Forward', '31_31_214']
[(2591, 3186), (2577, 2372), 'Forward', '31_31_214']
[(2591, 3190), (2577, 2372), 'Forward', '31_31_214']
[(2591, 3194), (2577, 2372), 'Forward', '31_31_214']
[(2591, 3198), (2577, 2372), 'Forward', '31_31_214']
[(2592, 3202), (2577, 2372), 'Forward', '31_31_214']
[(2592, 3206), (2577, 2372), 'Forward', '31_31_214']
[(2592, 3210), (2577, 2372), 'Forward', '31_31_214']
[(2592, 3214), (2577, 2372), 'Forward', '31_31_214']
[(2592, 3218), (2577, 2372), 'Forward', '31_31_214']
