[(1051, 539), (3873, 1344), 'Forward', '45_45_196']
[(1055, 539), (3873, 1344), 'Forward', '45_45_196']
[(1059, 539), (3873, 1344), 'Forward', '45_45_196']
[(1063, 539), (3873, 1344), 'Forward', '45_45_196']
[(1067, 539), (3873, 1344), 'Forward', '45_45_196']
[(1071, 539), (3873, 1344), 'Forward', '45_45_196']
[(1075, 539), (3873, 1344), 'Forward', '45_45_196']
[(1079, 539), (3873, 1344), 'Forward', '45_45_196']
[(1083, 539), (3873, 1344), 'Forward', '45_45_196']
[(1087, 539), (3873, 1344), 'Forward', '45_45_196']
[(1091, 539), (3873, 1344), 'Forward', '45_45_196']
[(1095, 539), (3873, 1344), 'Forward', '45_45_196']
[(1099, 539), (3873, 1344), 'Forward', '45_45_196']
[(1103, 539), (3873, 1344), 'Forward', '45_45_196']
[(1107, 539), (3873, 1344), 'Forward', '45_45_196']
[(1111, 539), (3873, 1344), 'Forward', '45_45_196']
[(1115, 539), (3873, 1344), 'Forward', '45_45_196']
[(1119, 539), (3873, 1344), 'Forward', '45_45_196']
[(1123, 539), (3873, 1344), 'Forward', '45_45_196']
[(1127, 539), (3873, 1344), 'Forward', '45_45_196']
[(1131, 539), (3873, 1344), 'Forward', '45_45_196']
[(1135, 539), (3873, 1344), 'Forward', '45_45_196']
[(1139, 539), (3873, 1344), 'Forward', '45_45_196']
[(1143, 539), (3873, 1344), 'Forward', '45_45_196']
[(1147, 539), (3873, 1344), 'Forward', '45_45_196']
[(1151, 539), (3873, 1344), 'Forward', '45_45_196']
[(1155, 539), (3873, 1344), 'Forward', '45_45_196']
[(1159, 539), (3873, 1344), 'Forward', '45_45_196']
[(1163, 539), (3873, 1344), 'Forward', '45_45_196']
[(1167, 539), (3873, 1344), 'Forward', '45_45_196']
[(1171, 539), (3873, 1344), 'Forward', '45_45_196']
[(1175, 539), (3873, 1344), 'Forward', '45_45_196']
[(1179, 539), (3873, 1344), 'Forward', '45_45_196']
[(1183, 539), (3873, 1344), 'Forward', '45_45_196']
[(1187, 539), (3873, 1344), 'Forward', '45_45_196']
[(1191, 539), (3873, 1344), 'Forward', '45_45_196']
[(1195, 539), (3873, 1344), 'Forward', '45_45_196']
[(1199, 539), (3873, 1344), 'Forward', '45_45_196']
[(1203, 539), (3873, 1344), 'Forward', '45_45_196']
[(1207, 539), (3873, 1344), 'Forward', '45_45_196']
[(1211, 539), (3873, 1344), 'Forward', '45_45_196']
[(1215, 539), (3873, 1344), 'Forward', '45_45_196']
[(1219, 539), (3873, 1344), 'Forward', '45_45_196']
[(1223, 539), (3873, 1344), 'Forward', '45_45_196']
[(1227, 539), (3873, 1344), 'Forward', '45_45_196']
[(1231, 539), (3873, 1344), 'Forward', '45_45_196']
[(1235, 539), (3873, 1344), 'Forward', '45_45_196']
[(1239, 539), (3873, 1344), 'Forward', '45_45_196']
[(1243, 539), (3873, 1344), 'Forward', '45_45_196']
[(1247, 539), (3873, 1344), 'Forward', '45_45_196']
[(1251, 539), (3873, 1344), 'Forward', '45_45_196']
[(1255, 539), (3873, 1344), 'Forward', '45_45_196']
[(1259, 539), (3873, 1344), 'Forward', '45_45_196']
[(1263, 539), (3873, 1344), 'Forward', '45_45_196']
[(1267, 539), (3873, 1344), 'Forward', '45_45_196']
[(1271, 539), (3873, 1344), 'Forward', '45_45_196']
[(1275, 539), (3873, 1344), 'Forward', '45_45_196']
[(1279, 539), (3873, 1344), 'Forward', '45_45_196']
[(1283, 539), (3873, 1344), 'Forward', '45_45_196']
[(1287, 539), (3873, 1344), 'Forward', '45_45_196']
