[(945, 2976), (586, 2360), 'Turn Left', '187_60_96']
[(946, 3661), (642, 3167), 'Turn Left', '87_127_214']
[(946, 3661), (607, 3168), 'Turn Left', '87_127_214']
[(949, 2976), (621, 2360), 'Turn Left', '187_60_96']
[(949, 2976), (586, 2360), 'Turn Left', '187_60_96']
[(950, 3661), (642, 3167), 'Turn Left', '87_127_214']
[(950, 3661), (607, 3168), 'Turn Left', '87_127_214']
[(953, 2976), (621, 2360), 'Turn Left', '187_60_96']
[(953, 2976), (586, 2360), 'Turn Left', '187_60_96']
[(954, 3661), (642, 3167), 'Turn Left', '87_127_214']
[(954, 3661), (607, 3168), 'Turn Left', '87_127_214']
[(957, 2976), (621, 2360), 'Turn Left', '187_60_96']
[(957, 2976), (586, 2360), 'Turn Left', '187_60_96']
[(958, 3661), (642, 3167), 'Turn Left', '87_127_214']
[(958, 3661), (607, 3168), 'Turn Left', '87_127_214']
[(961, 2976), (621, 2360), 'Turn Left', '187_60_96']
[(961, 2976), (586, 2360), 'Turn Left', '187_60_96']
[(962, 3661), (642, 3167), 'Turn Left', '87_127_214']
[(962, 3661), (607, 3168), 'Turn Left', '87_127_214']
[(965, 2976), (621, 2360), 'Turn Left', '187_60_96']
[(965, 2976), (586, 2360), 'Turn Left', '187_60_96']
[(966, 3661), (642, 3167), 'Turn Left', '87_127_214']
[(966, 3661), (607, 3168), 'Turn Left', '87_127_214']
[(969, 2976), (621, 2360), 'Turn Left', '187_60_96']
[(969, 2976), (586, 2360), 'Turn Left', '187_60_96']
[(970, 3661), (642, 3167), 'Turn Left', '87_127_214']
[(970, 3661), (607, 3168), 'Turn Left', '87_127_214']
[(973, 2976), (621, 2360), 'Turn Left', '187_60_96']
[(973, 2976), (586, 2360), 'Turn Left', '187_60_96']
[(974, 3660), (642, 3167), 'Turn Left', '87_127_214']
[(974, 3660), (607, 3168), 'Turn Left', '87_127_214']
[(977, 2976), (621, 2360), 'Turn Left', '187_60_96']
[(977, 2976), (586, 2360), 'Turn Left', '187_60_96']
[(978, 3660), (642, 3167), 'Turn Left', '87_127_214']
[(978, 3660), (607, 3168), 'Turn Left', '87_127_214']
[(981, 2976), (621, 2360), 'Turn Left', '187_60_96']
[(981, 2976), (586, 2360), 'Turn Left', '187_60_96']
[(982, 3660), (642, 3167), 'Turn Left', '87_127_214']
[(982, 3660), (607, 3168), 'Turn Left', '87_127_214']
[(985, 2976), (621, 2360), 'Turn Left', '187_60_96']
[(985, 2976), (586, 2360), 'Turn Left', '187_60_96']
[(986, 3660), (642, 3167), 'Turn Left', '87_127_214']
[(986, 3660), (607, 3168), 'Turn Left', '87_127_214']
[(989, 2976), (621, 2360), 'Turn Left', '187_60_96']
[(989, 2976), (586, 2360), 'Turn Left', '187_60_96']
[(990, 3660), (642, 3167), 'Turn Left', '87_127_214']
[(990, 3660), (607, 3168), 'Turn Left', '87_127_214']
[(993, 2976), (621, 2360), 'Turn Left', '187_60_96']
[(993, 2976), (586, 2360), 'Turn Left', '187_60_96']
